date,step_count,move_minutes_count,calories,distance,average_speed,max_speed,min_speed,city,country,country_code,weather,travel_day
2024-03-03,7261.0,104.0,1740.12255859375,4421.601679423414,0.4399206423319906,1.1673394712735772,0.2580986904463188,Kuala Lumpur,Malaysia,MY,Rain,True
2024-03-04,2870.0,43.0,1740.1225585937498,1689.836911496054,0.5680571979803701,1.0972045323436892,0.25105839951334,Kuala Lumpur,Malaysia,MY,Rain,True
2024-03-05,8738.0,144.0,1740.12255859375,5580.758860569791,0.5679233369693307,1.3609928264689315,0.2595658499694843,Kuala Lumpur,Malaysia,MY,Rain,True
2024-03-06,3579.0,60.0,1740.1225585937502,2158.4855976489675,0.3899260201628814,1.207308121057624,0.25105839951334,Kuala Lumpur,Malaysia,MY,Rain,True
2024-03-07,8856.0,139.0,1740.1225585937502,5496.11163542985,0.4147378312941442,1.2859342354064576,0.2615191661597292,Jakarta,Indonesia,ID,Clouds,True
2024-03-07,8856.0,139.0,1740.1225585937502,5496.11163542985,0.4147378312941442,1.2859342354064576,0.2615191661597292,Jakarta,Indonesia,ID,Clouds,True
2024-03-08,6701.0,91.0,1740.12255859375,4129.704303666443,0.4927221734989956,1.1996681729607166,0.25105839951334,Jakarta,Indonesia,ID,Rain,True
2024-03-08,6701.0,91.0,1740.12255859375,4129.704303666443,0.4927221734989956,1.1996681729607166,0.25105839951334,Jakarta,Indonesia,ID,Rain,True
2024-03-09,3201.0,55.0,1092.5376352646724,1949.508092538248,0.3741280194766455,1.2095327648871517,0.2615191661597292,Jakarta,Indonesia,ID,Rain,True
2024-03-09,3201.0,55.0,1092.5376352646724,1949.508092538248,0.3741280194766455,1.2095327648871517,0.2615191661597292,Jakarta,Indonesia,ID,Rain,True
2024-03-10,1876.0,33.0,1740.12255859375,1130.2284965878416,0.589411906031807,1.195907506413224,0.248065080870832,Jakarta,Indonesia,ID,Haze,True
2024-03-10,1876.0,33.0,1740.12255859375,1130.2284965878416,0.589411906031807,1.195907506413224,0.248065080870832,Jakarta,Indonesia,ID,Haze,True
2024-03-12,5581.0,82.0,1740.12255859375,3386.989910824366,0.4847356083223963,1.2948364706502378,0.25105839951334,Jakarta,Indonesia,ID,Clouds,True
2024-03-12,5581.0,82.0,1740.12255859375,3386.989910824366,0.4847356083223963,1.2948364706502378,0.25105839951334,Jakarta,Indonesia,ID,Clouds,True
2024-03-13,6036.0,87.0,1740.1225585937502,3806.219569875143,0.57574235810125,1.318039770298723,0.2824406994525075,Jakarta,Indonesia,ID,Haze,True
2024-03-13,6036.0,87.0,1740.1225585937502,3806.219569875143,0.57574235810125,1.318039770298723,0.2824406994525075,Jakarta,Indonesia,ID,Haze,True
2024-03-14,89.0,1.0,1740.12255859375,17.239044645977124,1.3679657414883215,1.3679657414883215,1.3679657414883215,Jakarta,Indonesia,ID,Clouds,True
2024-03-14,89.0,1.0,1740.12255859375,17.239044645977124,1.3679657414883215,1.3679657414883215,1.3679657414883215,Jakarta,Indonesia,ID,Clouds,True
2024-03-15,2490.0,40.0,1740.12255859375,1502.632776411375,0.6061446840430655,1.460213871439369,0.2921577891523196,Jakarta,Indonesia,ID,Thunderstorm,True
2024-03-15,2490.0,40.0,1740.12255859375,1502.632776411375,0.6061446840430655,1.460213871439369,0.2921577891523196,Jakarta,Indonesia,ID,Thunderstorm,True
2024-03-16,1865.0,26.0,1740.12255859375,1096.4387611827776,0.4383952587497818,1.3531430244141134,0.2719799328061184,Jakarta,Indonesia,ID,Haze,True
2024-03-16,1865.0,26.0,1740.12255859375,1096.4387611827776,0.4383952587497818,1.3531430244141134,0.2719799328061184,Jakarta,Indonesia,ID,Haze,True
2024-04-09,9541.0,154.0,1740.1225585937502,5921.198865300346,0.5300057590859772,1.215914789645474,0.2615191661597292,Hong Kong,China,HK,Clouds,True
2024-04-10,13772.0,232.0,1740.12255859375,8461.676223799257,0.503704801030377,1.1839040249944688,0.2462098243173129,Hong Kong,China,HK,Clouds,True
2024-04-11,13530.0,226.0,1740.12255859375,8286.236320627042,0.4935913686403229,1.1924254310810594,0.25105839951334,Hong Kong,China,HK,Clear,True
2024-04-12,8347.0,140.0,1740.12255859375,4992.92855854787,0.4948928872150366,1.2749931961352918,0.25105839951334,Hong Kong,China,HK,Clear,True
2024-04-13,41457.0,554.0,1740.12255859375,27274.52930622541,0.7172827641129232,1.8240979100716848,0.2453860130633889,Hong Kong,China,HK,Clouds,True
2024-11-01,16949.0,232.0,3271.95284968903,10290.763692961951,0.5128137415393857,1.288747813298908,0.2460760165536469,Luxembourg,Luxembourg,LU,Clouds,True
2024-11-02,16506.0,215.0,3149.255744255267,10188.923126741232,0.5345655657657656,1.6891879891410713,0.2550294451604079,Luxembourg,Luxembourg,LU,Clouds,True
2024-11-10,24860.0,317.0,3524.389120090867,15400.578796759064,0.640531458484452,1.3246836131412512,0.2491556191976362,Amsterdam,Netherlands,NL,Clouds,True
2024-11-11,22283.0,284.0,3790.129463660944,13878.273060188723,0.4798208333585895,1.26692363919044,0.2762818989237753,Amsterdam,Netherlands,NL,Rain,True
2024-12-30,28581.0,386.0,3910.615435487533,18294.11877413747,0.6710960739263265,1.4135188857165746,0.2550294451604079,Paris,France,FR,Fog,True
2024-12-31,31161.0,398.0,3730.838315768183,20017.038865538543,0.6095966478688164,1.324373262625927,0.2481667286044508,Paris,France,FR,Clouds,True
2025-02-04,18312.0,226.0,2803.121611649625,11780.946755745434,0.4941067702946165,1.3481664515670633,0.2486781670616104,Marrakech,Morocco,MA,Clear,True
2025-02-05,16188.0,208.0,2781.8211545737468,10297.948844831852,0.4754401213376998,1.29505986252769,0.249377022247098,Marrakech,Morocco,MA,Clear,True
2025-02-06,14311.0,189.0,2724.748623025893,8740.00811042495,0.4946598665437364,1.5444488572364186,0.2506798939215431,Marrakech,Morocco,MA,Clear,True
2025-02-07,16228.0,207.0,2834.68309537792,10320.099659182522,0.6633662116722328,1.7868146323148226,0.2467521630291724,Marrakech,Morocco,MA,Clear,True
2025-02-08,22421.0,302.0,3130.9241056730066,14347.855404559692,0.574508406500991,1.363171285225682,0.2462721796503403,Marrakech,Morocco,MA,Clear,True
2025-03-14,9160.0,114.0,2369.60352445188,5845.500011910556,0.5212853450835572,1.4352119324657406,0.2550294451604079,Milan,Italy,IT,Rain,True
2025-03-15,32991.0,476.0,3809.810744882156,21046.121351213376,0.562492462820785,1.468252919933288,0.2477872088007866,Milan,Italy,IT,Rain,True
2025-03-16,31091.0,393.0,3611.787909680583,20396.9301682915,0.7260788548944704,1.4269291883058193,0.2514267471370541,Milan,Italy,IT,Clouds,True
2025-03-17,17652.0,209.0,3113.400743830945,11701.800238178335,0.577321215883858,1.369259207966022,0.2762818989237753,Milan,Italy,IT,Clear,True
2025-03-22,33166.0,416.0,3860.823285216611,21482.16296953031,0.7240894388293374,1.2438158537327035,0.2656556720420916,Madrid,Spain,ES,Rain,True
2025-03-23,30262.0,387.0,3742.962479365383,19842.04382012444,0.7676047416380506,1.4276906194982626,0.2550294451604079,Madrid,Spain,ES,Clouds,True
2025-04-12,22460.0,288.0,3234.538721512477,14737.739030809831,0.5687804129317814,1.4551002442886125,0.252130362967876,Lisbon,Portugal,PT,Fog,True
2025-04-13,27568.0,337.0,3549.7242463374464,18154.937561684423,0.6864901966202971,1.5677864565313178,0.2550294451604079,Lisbon,Portugal,PT,Clouds,True
2025-04-14,32822.0,388.0,3548.073770186344,21754.87670048574,0.8850448671786051,1.669559371816437,0.2466037640692088,Lisbon,Portugal,PT,Rain,True
2025-04-15,24603.0,296.0,3203.980048371262,16101.721397036164,0.7758024667578745,1.6873661366758452,0.2550294451604079,Lisbon,Portugal,PT,Rain,True
2025-04-26,17552.0,222.0,3041.7638924339994,11275.037711198704,0.6747042415613018,1.6646058863746471,0.2549663477612433,Andorra La Vella,Andorra,AD,Rain,True
2025-05-04,23318.0,300.0,3499.795426771763,14973.196700882288,0.598783949831392,1.408950644127876,0.2521036281174226,Monaco,Monaco,MC,Rain,True
2025-05-17,26481.0,356.0,3808.5567056283694,16598.178338270707,0.5872851967569244,1.8296580553713253,0.2510267476778673,Bologna,Italy,IT,Clouds,True
2025-05-18,22711.0,291.0,3217.9578400981245,14441.63269513769,0.5849736852596094,1.4763575740419732,0.2475808590538501,Bologna,Italy,IT,Clear,True
2025-06-18,23465.0,321.0,3737.9751919962296,14731.58217000417,0.501648948598644,1.5314424846651582,0.2422196121575956,Rome,Italy,IT,Rain,True
2025-06-19,25574.0,341.0,3677.3122277895945,16214.22584334744,0.6456744846033844,1.3142192059807951,0.2550294451604079,Rome,Italy,IT,Clear,True
2025-06-20,23902.0,308.0,3570.098799169288,15260.699179224908,0.6656661731898339,1.5631777984499236,0.25360748878352,Rome,Italy,IT,Clear,True
2025-06-22,24622.0,336.0,3924.9241527737886,15650.199552518094,0.5762309848999589,1.700620554588913,0.2454143408502454,Seville,Spain,ES,Clear,True
2025-06-23,18586.0,228.0,2957.42527498337,11887.673227505946,0.6084774004662401,1.9132098345688704,0.2444882424562157,Seville,Spain,ES,Clear,True
2025-06-24,24755.0,325.0,3729.3526746028415,15474.533692686204,0.619349649742567,1.4496361197756682,0.2550294451604079,Seville,Spain,ES,Rain,True
2025-06-25,15268.0,182.0,2612.944193777076,9830.221800990066,0.6718536931670825,1.9165178811161656,0.2476102348927189,Seville,Spain,ES,Clouds,True
2025-06-26,22936.0,266.0,3038.395662481537,14624.847033218786,0.5678556240272473,1.4007190042439024,0.2550294451604079,Tangier,Morocco,MA,Clear,True
2025-06-27,32354.0,380.0,3521.202195772875,21618.87417117728,0.650854284499564,1.4402704644198845,0.2534890850332261,Tangier,Morocco,MA,Clear,True
2025-06-28,12337.0,145.0,2845.085113560175,7664.35947971027,0.5779696013880592,1.441319876167312,0.2550294451604079,Tangier,Morocco,MA,Clouds,True
2025-07-06,30678.0,402.0,4040.793483727734,19351.38983600279,0.6446661575260934,1.4534660779387576,0.2546809441369632,Prague,Czechia,CZ,Clear,True
2025-07-07,30007.0,349.0,3487.946075605985,19767.58439140006,0.7406131907865842,1.4127274868675137,0.251046179118396,Prague,Czechia,CZ,Clouds,True
2025-07-08,38731.0,456.0,4013.355440805699,25935.94184341195,0.6578614305092148,1.4846861868447805,0.2551403757585638,Budapest,Hungary,HU,Rain,True
2025-07-09,25033.0,271.0,3418.3657544922253,16727.358763556465,0.6439148565453616,1.3690473040266389,0.2465581855112247,Budapest,Hungary,HU,Rain,True
2025-07-10,36697.0,429.0,4008.4685832811433,24183.837619417267,0.7859392821932555,1.706310627854608,0.2550294451604079,Vienna,Austria,AT,Rain,True
2025-07-11,17706.0,211.0,3655.6936659784897,11525.671132078403,0.618599696134967,2.076445207281154,0.2467316866902916,Vienna,Austria,AT,Rain,True
2025-08-01,20531.0,274.0,3039.7980921588005,12563.566877137842,0.6036120559783794,1.405793396637682,0.2550294451604079,Tokyo,Japan,JP,Rain,True
2025-08-02,21263.0,293.0,3347.0936292701595,12773.399054887266,0.5792574239024814,1.4515188319168335,0.2542022668017604,Tokyo,Japan,JP,Clouds,True
2025-08-03,26344.0,365.0,3560.52157374415,16324.175146398367,0.6507267841784158,1.4715820357886875,0.2410784167237381,Tokyo,Japan,JP,Clouds,True
2025-08-04,14744.0,180.0,2841.897399873656,9032.2382006905,0.5326300388813638,1.3600062754881468,0.2490330917256451,Osaka,Japan,JP,Clouds,True
2025-08-05,16728.0,213.0,3140.469225364709,10184.655786587728,0.5866281994497494,1.5925038842986243,0.2550294451604079,Osaka,Japan,JP,Clouds,True
2025-08-06,19489.0,273.0,3313.266692842563,11422.052315064104,0.553940951753387,2.0052929792724714,0.2465960948827401,Osaka,Japan,JP,Clouds,True
2025-08-07,15554.0,218.0,3439.31915560322,9538.12141288542,0.5873234536274914,1.3255622713507331,0.2537693580168499,Osaka,Japan,JP,Clouds,True
2025-10-01,16642.0,210.0,3218.136767610239,10484.293028404309,0.5390735239643035,1.647566275527319,0.2547904537983648,Paris,France,FR,Clear,False
2025-10-02,14959.0,183.0,2866.924631795609,9247.78501181256,0.616794363797835,1.5351063182814215,0.2550294451604079,Paris,France,FR,Clear,False
2025-10-03,18077.0,218.0,3520.068844860046,11338.29849221032,0.6170749030186462,1.9439942028574904,0.2456110789849324,Paris,France,FR,Clear,False
